Timer started ...
MOD: delay(1250 1250), type(tTMRCO20), from(I1.OSCOUT), to(I1.TIMEROUT)
CHK: delay(200 200), type(tCES), from(Y5.CE ), to(Y5.C )
CHK: delay(0 0), type(tWLA), from(Y5.C ), to(Y5.C )
CHK: delay(0 0), type(tWHA), from(Y5.C ), to(Y5.C )
CHK: delay(200 200), type(tH), from(Y5.D ), to(Y5.C )
CHK: delay(200 200), type(tS_PT), from(Y5.D ), to(Y5.C )
MOD: delay(95 95), type(tSRi), from(Y6.AR ), to(Y6.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(Y6.Q ), to(Y6.PAD)
MOD: delay(45 45), type(tCOi), from(Y6.C ), to(Y6.Q )
CHK: delay(0 0), type(tSRW), from(Y6.AR ), to(Y6.AR )
CHK: delay(180 180), type(tSRR), from(Y6.AR ), to(Y6.C )
CHK: delay(0 0), type(tCEH), from(Y6.CE ), to(Y6.C )
CHK: delay(200 200), type(tCES), from(Y6.CE ), to(Y6.C )
CHK: delay(0 0), type(tWLA), from(Y6.C ), to(Y6.C )
CHK: delay(0 0), type(tWHA), from(Y6.C ), to(Y6.C )
CHK: delay(200 200), type(tH), from(Y6.D ), to(Y6.C )
CHK: delay(200 200), type(tS_PT), from(Y6.D ), to(Y6.C )
MOD: delay(95 95), type(tSRi), from(Y7.AR ), to(Y7.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(Y7.Q ), to(Y7.PAD)
MOD: delay(45 45), type(tCOi), from(Y7.C ), to(Y7.Q )
CHK: delay(0 0), type(tSRW), from(Y7.AR ), to(Y7.AR )
CHK: delay(180 180), type(tSRR), from(Y7.AR ), to(Y7.C )
CHK: delay(0 0), type(tCEH), from(Y7.CE ), to(Y7.C )
CHK: delay(200 200), type(tCES), from(Y7.CE ), to(Y7.C )
CHK: delay(0 0), type(tWLA), from(Y7.C ), to(Y7.C )
CHK: delay(0 0), type(tWHA), from(Y7.C ), to(Y7.C )
CHK: delay(200 200), type(tH), from(Y7.D ), to(Y7.C )
CHK: delay(200 200), type(tS_PT), from(Y7.D ), to(Y7.C )
MOD: delay(95 95), type(tSRi), from(S1.AP ), to(S1.Q )
MOD: delay(95 95), type(tSRi), from(S1.AR ), to(S1.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(S1.Q ), to(S1.PAD)
MOD: delay(45 45), type(tCOi), from(S1.C ), to(S1.Q )
CHK: delay(0 0), type(tSRW), from(S1.AP ), to(S1.AP )
CHK: delay(180 180), type(tSRR), from(S1.AP ), to(S1.C )
CHK: delay(0 0), type(tSRW), from(S1.AR ), to(S1.AR )
CHK: delay(180 180), type(tSRR), from(S1.AR ), to(S1.C )
CHK: delay(0 0), type(tWLA), from(S1.C ), to(S1.C )
CHK: delay(0 0), type(tWHA), from(S1.C ), to(S1.C )
CHK: delay(200 200), type(tH), from(S1.D ), to(S1.C )
CHK: delay(200 200), type(tS_PT), from(S1.D ), to(S1.C )
MOD: delay(95 95), type(tSRi), from(Q3.AR ), to(Q3.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(Q3.Q ), to(Q3.PAD)
MOD: delay(45 45), type(tCOi), from(Q3.C ), to(Q3.Q )
CHK: delay(0 0), type(tSRW), from(Q3.AR ), to(Q3.AR )
CHK: delay(180 180), type(tSRR), from(Q3.AR ), to(Q3.C )
CHK: delay(0 0), type(tWLA), from(Q3.C ), to(Q3.C )
CHK: delay(0 0), type(tWHA), from(Q3.C ), to(Q3.C )
CHK: delay(200 200), type(tH), from(Q3.D ), to(Q3.C )
CHK: delay(200 200), type(tS_PT), from(Q3.D ), to(Q3.C )
MOD: delay(95 95), type(tSRi), from(Q2.AR ), to(Q2.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(Q2.Q ), to(Q2.PAD)
MOD: delay(45 45), type(tCOi), from(Q2.C ), to(Q2.Q )
CHK: delay(0 0), type(tSRW), from(Q2.AR ), to(Q2.AR )
CHK: delay(180 180), type(tSRR), from(Q2.AR ), to(Q2.C )
CHK: delay(0 0), type(tWLA), from(Q2.C ), to(Q2.C )
CHK: delay(0 0), type(tWHA), from(Q2.C ), to(Q2.C )
CHK: delay(200 200), type(tH), from(Q2.D.X2 ), to(Q2.C )
CHK: delay(200 200), type(tS_PT), from(Q2.D.X2 ), to(Q2.C )
CHK: delay(200 200), type(tH), from(Q2.D.X1 ), to(Q2.C )
CHK: delay(200 200), type(tS_PT), from(Q2.D.X1 ), to(Q2.C )
MOD: delay(95 95), type(tSRi), from(Q1.AR ), to(Q1.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(Q1.Q ), to(Q1.PAD)
MOD: delay(45 45), type(tCOi), from(Q1.C ), to(Q1.Q )
CHK: delay(0 0), type(tSRW), from(Q1.AR ), to(Q1.AR )
CHK: delay(180 180), type(tSRR), from(Q1.AR ), to(Q1.C )
CHK: delay(0 0), type(tWLA), from(Q1.C ), to(Q1.C )
CHK: delay(0 0), type(tWHA), from(Q1.C ), to(Q1.C )
CHK: delay(200 200), type(tH), from(Q1.D.X2 ), to(Q1.C )
CHK: delay(200 200), type(tS_PT), from(Q1.D.X2 ), to(Q1.C )
CHK: delay(200 200), type(tH), from(Q1.D.X1 ), to(Q1.C )
CHK: delay(200 200), type(tS_PT), from(Q1.D.X1 ), to(Q1.C )
MOD: delay(95 95), type(tSRi), from(Q0.AR ), to(Q0.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(Q0.Q ), to(Q0.PAD)
MOD: delay(45 45), type(tCOi), from(Q0.C ), to(Q0.Q )
CHK: delay(0 0), type(tSRW), from(Q0.AR ), to(Q0.AR )
CHK: delay(180 180), type(tSRR), from(Q0.AR ), to(Q0.C )
CHK: delay(0 0), type(tWLA), from(Q0.C ), to(Q0.C )
CHK: delay(0 0), type(tWHA), from(Q0.C ), to(Q0.C )
CHK: delay(200 200), type(tH), from(Q0.D.X2 ), to(Q0.C )
CHK: delay(200 200), type(tS_PT), from(Q0.D.X2 ), to(Q0.C )
CHK: delay(200 200), type(tH), from(Q0.D.X1 ), to(Q0.C )
CHK: delay(200 200), type(tS_PT), from(Q0.D.X1 ), to(Q0.C )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(P3.Q ), to(P3.PAD)
MOD: delay(45 45), type(tCOi), from(P3.C ), to(P3.Q )
CHK: delay(0 0), type(tWLA), from(P3.C ), to(P3.C )
CHK: delay(0 0), type(tWHA), from(P3.C ), to(P3.C )
CHK: delay(200 200), type(tH), from(P3.D ), to(P3.C )
CHK: delay(200 200), type(tS_PT), from(P3.D ), to(P3.C )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(P2.Q ), to(P2.PAD)
MOD: delay(45 45), type(tCOi), from(P2.C ), to(P2.Q )
CHK: delay(0 0), type(tWLA), from(P2.C ), to(P2.C )
CHK: delay(0 0), type(tWHA), from(P2.C ), to(P2.C )
CHK: delay(200 200), type(tH), from(P2.D ), to(P2.C )
CHK: delay(200 200), type(tS_PT), from(P2.D ), to(P2.C )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(P1.Q ), to(P1.PAD)
MOD: delay(45 45), type(tCOi), from(P1.C ), to(P1.Q )
CHK: delay(0 0), type(tWLA), from(P1.C ), to(P1.C )
CHK: delay(0 0), type(tWHA), from(P1.C ), to(P1.C )
CHK: delay(200 200), type(tH), from(P1.D ), to(P1.C )
CHK: delay(200 200), type(tS_PT), from(P1.D ), to(P1.C )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(P0.Q ), to(P0.PAD)
MOD: delay(45 45), type(tCOi), from(P0.C ), to(P0.Q )
CHK: delay(0 0), type(tWLA), from(P0.C ), to(P0.C )
CHK: delay(0 0), type(tWHA), from(P0.C ), to(P0.C )
CHK: delay(200 200), type(tHT), from(P0.T ), to(P0.C )
CHK: delay(220 220), type(tST_PT), from(P0.T ), to(P0.C )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(L16.Q ), to(L16.PAD)
MOD: delay(45 45), type(tCOi), from(L16.C ), to(L16.Q )
CHK: delay(0 0), type(tWLA), from(L16.C ), to(L16.C )
CHK: delay(0 0), type(tWHA), from(L16.C ), to(L16.C )
CHK: delay(200 200), type(tH), from(L16.D ), to(L16.C )
CHK: delay(200 200), type(tS_PT), from(L16.D ), to(L16.C )
MOD: delay(45 45), type(tPDi), from(osc_dis ), to(osc_dis.OUT)
MOD: delay(45 45), type(tCOi), from(timediv.C ), to(timediv.Q )
CHK: delay(0 0), type(tWLA), from(timediv.C ), to(timediv.C )
CHK: delay(0 0), type(tWHA), from(timediv.C ), to(timediv.C )
CHK: delay(200 200), type(tH), from(timediv.D ), to(timediv.C )
CHK: delay(200 200), type(tS_PT), from(timediv.D ), to(timediv.C )
MOD: delay(45 45), type(tCOi), from(timediv2.C ), to(timediv2.Q )
CHK: delay(0 0), type(tWLA), from(timediv2.C ), to(timediv2.C )
CHK: delay(0 0), type(tWHA), from(timediv2.C ), to(timediv2.C )
CHK: delay(200 200), type(tH), from(timediv2.D ), to(timediv2.C )
CHK: delay(200 200), type(tS_PT), from(timediv2.D ), to(timediv2.C )
MOD: delay(45 45), type(tCOi), from(dd7.C ), to(dd7.Q )
CHK: delay(0 0), type(tWLA), from(dd7.C ), to(dd7.C )
CHK: delay(0 0), type(tWHA), from(dd7.C ), to(dd7.C )
CHK: delay(200 200), type(tH), from(dd7.D ), to(dd7.C )
CHK: delay(200 200), type(tS_PT), from(dd7.D ), to(dd7.C )
MOD: delay(45 45), type(tCOi), from(dd8.C ), to(dd8.Q )
CHK: delay(0 0), type(tWLA), from(dd8.C ), to(dd8.C )
CHK: delay(0 0), type(tWHA), from(dd8.C ), to(dd8.C )
CHK: delay(200 200), type(tH), from(dd8.D ), to(dd8.C )
CHK: delay(200 200), type(tS_PT), from(dd8.D ), to(dd8.C )
MOD: delay(45 45), type(tCOi), from(dd9.C ), to(dd9.Q )
CHK: delay(0 0), type(tWLA), from(dd9.C ), to(dd9.C )
CHK: delay(0 0), type(tWHA), from(dd9.C ), to(dd9.C )
CHK: delay(200 200), type(tH), from(dd9.D ), to(dd9.C )
CHK: delay(200 200), type(tS_PT), from(dd9.D ), to(dd9.C )
MOD: delay(45 45), type(tCOi), from(dd10.C ), to(dd10.Q )
CHK: delay(0 0), type(tWLA), from(dd10.C ), to(dd10.C )
CHK: delay(0 0), type(tWHA), from(dd10.C ), to(dd10.C )
CHK: delay(200 200), type(tH), from(dd10.D ), to(dd10.C )
CHK: delay(200 200), type(tS_PT), from(dd10.D ), to(dd10.C )
MOD: delay(45 45), type(tCOi), from(dd11.C ), to(dd11.Q )
CHK: delay(0 0), type(tWLA), from(dd11.C ), to(dd11.C )
CHK: delay(0 0), type(tWHA), from(dd11.C ), to(dd11.C )
CHK: delay(200 200), type(tH), from(dd11.D ), to(dd11.C )
CHK: delay(200 200), type(tS_PT), from(dd11.D ), to(dd11.C )
MOD: delay(45 45), type(tCOi), from(dd12.C ), to(dd12.Q )
CHK: delay(0 0), type(tWLA), from(dd12.C ), to(dd12.C )
CHK: delay(0 0), type(tWHA), from(dd12.C ), to(dd12.C )
CHK: delay(200 200), type(tH), from(dd12.D ), to(dd12.C )
CHK: delay(200 200), type(tS_PT), from(dd12.D ), to(dd12.C )
MOD: delay(45 45), type(tCOi), from(dd13.C ), to(dd13.Q )
CHK: delay(0 0), type(tWLA), from(dd13.C ), to(dd13.C )
CHK: delay(0 0), type(tWHA), from(dd13.C ), to(dd13.C )
CHK: delay(200 200), type(tH), from(dd13.D ), to(dd13.C )
CHK: delay(200 200), type(tS_PT), from(dd13.D ), to(dd13.C )
MOD: delay(45 45), type(tCOi), from(dd14.C ), to(dd14.Q )
CHK: delay(0 0), type(tWLA), from(dd14.C ), to(dd14.C )
CHK: delay(0 0), type(tWHA), from(dd14.C ), to(dd14.C )
CHK: delay(200 200), type(tH), from(dd14.D ), to(dd14.C )
CHK: delay(200 200), type(tS_PT), from(dd14.D ), to(dd14.C )
MOD: delay(45 45), type(tCOi), from(dd15.C ), to(dd15.Q )
CHK: delay(0 0), type(tWLA), from(dd15.C ), to(dd15.C )
CHK: delay(0 0), type(tWHA), from(dd15.C ), to(dd15.C )
CHK: delay(200 200), type(tH), from(dd15.D ), to(dd15.C )
CHK: delay(200 200), type(tS_PT), from(dd15.D ), to(dd15.C )
MOD: delay(45 45), type(tCOi), from(dd16.C ), to(dd16.Q )
CHK: delay(0 0), type(tWLA), from(dd16.C ), to(dd16.C )
CHK: delay(0 0), type(tWHA), from(dd16.C ), to(dd16.C )
CHK: delay(200 200), type(tH), from(dd16.D ), to(dd16.C )
CHK: delay(200 200), type(tS_PT), from(dd16.D ), to(dd16.C )
MOD: delay(45 45), type(tCOi), from(dd17.C ), to(dd17.Q )
CHK: delay(0 0), type(tWLA), from(dd17.C ), to(dd17.C )
CHK: delay(0 0), type(tWHA), from(dd17.C ), to(dd17.C )
CHK: delay(200 200), type(tH), from(dd17.D ), to(dd17.C )
CHK: delay(200 200), type(tS_PT), from(dd17.D ), to(dd17.C )
MOD: delay(45 45), type(tCOi), from(dd18.C ), to(dd18.Q )
CHK: delay(0 0), type(tWLA), from(dd18.C ), to(dd18.C )
CHK: delay(0 0), type(tWHA), from(dd18.C ), to(dd18.C )
CHK: delay(200 200), type(tH), from(dd18.D ), to(dd18.C )
CHK: delay(200 200), type(tS_PT), from(dd18.D ), to(dd18.C )
MOD: delay(45 45), type(tCOi), from(dd19.C ), to(dd19.Q )
CHK: delay(0 0), type(tWLA), from(dd19.C ), to(dd19.C )
CHK: delay(0 0), type(tWHA), from(dd19.C ), to(dd19.C )
CHK: delay(200 200), type(tH), from(dd19.D ), to(dd19.C )
CHK: delay(200 200), type(tS_PT), from(dd19.D ), to(dd19.C )
MOD: delay(45 45), type(tCOi), from(dd20.C ), to(dd20.Q )
CHK: delay(0 0), type(tWLA), from(dd20.C ), to(dd20.C )
CHK: delay(0 0), type(tWHA), from(dd20.C ), to(dd20.C )
CHK: delay(200 200), type(tH), from(dd20.D ), to(dd20.C )
CHK: delay(200 200), type(tS_PT), from(dd20.D ), to(dd20.C )
MOD: delay(45 45), type(tPDi), from(Q3_0 ), to(Q3_0.OUT)
MOD: delay(45 45), type(tPDi), from(_dup_osc_dis ), to(_dup_osc_dis.OUT)
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(X6.Q ), to(Q3.D )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(X6.Q ), to(X7.D )
NET: delay(370 370), type(tFBK+tROUTE+tBLA+tMCELL), from(X6.Q ), to(LED6 )
NET: delay(75 75), type(tFBK), from(_dup_osc_dis.OUT), to(I1.TIMERRES)
NET: delay(75 75), type(tFBK), from(osc_dis.OUT), to(I1.DYNOSCDIS)
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X5.Q ), to(Q0.D.X1 )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X5.Q ), to(Q3.D )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X5.Q ), to(X6.D )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X5.Q ), to(LED5 )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X4.Q ), to(Q1.D.X1 )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X4.Q ), to(Q3.D )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X4.Q ), to(X5.D )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X4.Q ), to(X0.T )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X4.Q ), to(LED4 )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X3.Q ), to(Q0.D.X1 )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X3.Q ), to(Q1.D.X1 )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X3.Q ), to(Q3.D )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X3.Q ), to(X4.D )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X3.Q ), to(X0.T )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X3.Q ), to(LED3 )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X2.Q ), to(Q2.D.X1 )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X2.Q ), to(Q3.D )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X2.Q ), to(X3.D )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X2.Q ), to(X0.T )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X2.Q ), to(LED2 )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X1.Q ), to(Q0.D.X1 )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X1.Q ), to(Q2.D.X1 )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X1.Q ), to(Q3.D )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X1.Q ), to(X2.D )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X1.Q ), to(LED1 )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X0.Q ), to(Q1.D.X1 )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X0.Q ), to(Q2.D.X1 )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X0.Q ), to(Q3.D )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X0.Q ), to(X1.D )
NET: delay(380 380), type(tFBK+tROUTE+tBLA*3+tMCELL), from(X0.Q ), to(LED0 )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(Q3_0 )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(dd20.D )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(dd19.D )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(dd18.D )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(dd17.D )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(dd16.D )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(dd15.D )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(dd14.D )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(dd13.D )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(dd12.D )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(dd11.D )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(dd10.D )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(dd9.D )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(dd8.D )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(dd7.D )
NET: delay(570 570), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tBSR), from(DIP7.PAD), to(Y7.AR )
NET: delay(570 570), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tPTSR), from(DIP7.PAD), to(Y6.AR )
NET: delay(570 570), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tBSR), from(DIP7.PAD), to(Y5.AR )
NET: delay(570 570), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tPTSR), from(DIP7.PAD), to(Y4.AR )
NET: delay(570 570), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tPTSR), from(DIP7.PAD), to(Y3.AR )
NET: delay(570 570), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tBSR), from(DIP7.PAD), to(Y2.AR )
NET: delay(570 570), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tPTSR), from(DIP7.PAD), to(Y1.AR )
NET: delay(570 570), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tBSR), from(DIP7.PAD), to(Y0.AP )
NET: delay(570 570), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tPTSR), from(DIP7.PAD), to(X7.AR )
NET: delay(570 570), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tPTSR), from(DIP7.PAD), to(X6.AR )
NET: delay(570 570), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tPTSR), from(DIP7.PAD), to(X5.AR )
NET: delay(570 570), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tPTSR), from(DIP7.PAD), to(X4.AR )
NET: delay(570 570), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tBSR), from(DIP7.PAD), to(X3.AR )
NET: delay(570 570), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tBSR), from(DIP7.PAD), to(X2.AR )
NET: delay(570 570), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tPTSR), from(DIP7.PAD), to(X1.AR )
NET: delay(570 570), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tPTSR), from(DIP7.PAD), to(X0.AR )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(DIS4g.D )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(DIS4f.D )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(DIS4e.D )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(DIS4d.D )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(DIS4c.D )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(DIS4b.D )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(DIS4a.D )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(DIS3g.D )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(DIS3f.D )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(DIS3e.D )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(DIS3d.D )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(DIS3c.D )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(DIS3b.D )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(DIS3a.D )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(DIS2g.D )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(DIS2f.D )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(DIS2e.D )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(DIS2d.D )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(DIS2c.D )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(DIS2b.D )
NET: delay(450 450), type(tIN+tIOI(LVCMOS18)+tROUTE+tBLA*11+tMCELL), from(DIP7.PAD), to(DIS2a.D )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(dd20.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(dd19.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(dd18.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(dd17.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(dd16.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(dd15.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(dd14.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(dd13.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(dd12.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(dd11.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(dd10.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(dd9.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(dd8.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(dd7.C )
NET: delay(415 415), type(tFBK+tROUTE+tBLA*10+tMCELL), from(timediv2.Q ), to(timediv2.D )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(L16.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(P0.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tPTCLK), from(timediv2.Q ), to(P1.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(P2.C )
NET: delay(495 495), type(tFBK+tROUTE+tBLA*10+tBCLK), from(timediv2.Q ), to(P3.C )
